STATE_CODE,STATE_NAME,LGA_CODE,LGA_NAME
17,TARABA,348,YORRO
17,TARABA,349,ZING
17,TARABA,350,GASSOL
17,TARABA,351,IBI
17,TARABA,352,WUKARI
17,TARABA,353,BALI
17,TARABA,354,GASHAKA
17,TARABA,355,SARDUNA
17,TARABA,356,KURMI
17,TARABA,357,USSA
17,TARABA,358,TAKUM
17,TARABA,359,DONGA
18,BENUE,360,AGATU
18,BENUE,361,APA
18,BENUE,362,GWER WEST
18,BENUE,363,MAKURDI
18,BENUE,364,GUMA
18,BENUE,365,LOGO
18,BENUE,366,UKUM
18,BENUE,367,KATSINA ALA
18,BENUE,368,BURUKU
18,BENUE,369,TARKA
18,BENUE,370,GBOKO
18,BENUE,371,GWER EAST
18,BENUE,372,OTUKPO
18,BENUE,373,OHIMINI
18,BENUE,374,OKPOKWU
18,BENUE,375,OGBADIBO
18,BENUE,376,ADO
18,BENUE,377,OBI
18,BENUE,378,OJU
18,BENUE,379,KONSHISHA
18,BENUE,380,USHONGO
18,BENUE,381,KWANDE
18,BENUE,382,VANDEIKYA
19,KOGI,383,YAGBA WEST
19,KOGI,384,YAGBA EAST
19,KOGI,385,MOPA-MURO
19,KOGI,386,IJUMU
19,KOGI,387,KABBA_BUNU
19,KOGI,388,OKEHI
19,KOGI,389,OGORI MAGONGO
19,KOGI,390,OKENE
19,KOGI,391,ADAVI
19,KOGI,392,AJAOKUTA
19,KOGI,393,LOKOJA
19,KOGI,394,KOGI KOTON KERFE
19,KOGI,395,BASSA
19,KOGI,396,DEKINA
19,KOGI,397,OMALA
19,KOGI,398,ANKPA
19,KOGI,399,OLAMABORO
19,KOGI,400,OFU
19,KOGI,401,IGALAMELA-ODOLU
19,KOGI,402,IDAH
19,KOGI,403,IBAJI
20,KWARA,404,BARUTEN
20,KWARA,405,KAIAMA
20,KWARA,406,MORO
20,KWARA,407,EDU
20,KWARA,408,PATIGI
20,KWARA,409,IFELODUN
20,KWARA,410,ILORIN SOUTH
20,KWARA,411,ILORIN EAST
20,KWARA,412,ILORIN WEST
20,KWARA,413,ASA
20,KWARA,414,OYUN
20,KWARA,415,OFFA
20,KWARA,416,IREPODUN
20,KWARA,417,ISIN
20,KWARA,418,OKE-ERO
20,KWARA,419,EKITI
21,OYO,420,IREPO
21,OYO,421,OLORUNSOGO
21,OYO,422,ORELOPE
21,OYO,423,SAKI EAST
21,OYO,424,SAKI WEST
21,OYO,425,ATISBO
21,OYO,426,ITESIWAJU
21,OYO,427,ATIBA
21,OYO,428,ORIIRE
21,OYO,429,OGBOMOSO NORTH
21,OYO,430,SURULERE
21,OYO,431,OGBOMOSO SOUTH
21,OYO,432,OGO-OLUWA
21,OYO,433,OYO EAST
21,OYO,434,OYO WEST
21,OYO,435,ISEYIN
21,OYO,436,KAJOLA
21,OYO,437,IWAJOWA
21,OYO,438,IBARAPA-NORTH
21,OYO,439,IBARAPA CENTRAL
21,OYO,440,IBARAPA-EAST
21,OYO,441,IDO
21,OYO,442,AFIJIO
21,OYO,443,AKINYELE
21,OYO,444,LAGELU
21,OYO,445,IBADAN NORTH
21,OYO,446,IBADAN NORTHWEST
21,OYO,447,IBADAN SOUTH WEST
21,OYO,448,IBADAN SOUTH EAST
21,OYO,449,IBADAN NORTH EAST
21,OYO,450,EGBEDA
21,OYO,451,ONA ARA
21,OYO,452,OLUYOLE
22,OSUN,453,IFEDAYO
22,OSUN,454,ILA
22,OSUN,455,BOLUWADURO
22,OSUN,456,ODO OTIN
22,OSUN,457,IFELODUN
22,OSUN,458,OLORUNDA
22,OSUN,459,IREPODUN
22,OSUN,460,OROLU
22,OSUN,461,EGBEDORE
22,OSUN,462,OSOGBO
22,OSUN,463,BORIPE
